id;name;address;city;capacity;contact_info;photo_url
1;shyly punctually honestly;why sarong;Emilianomouth;14635;flawed pfft which;despite
2;gadzooks belabor;up;Feliciaport;890;back now;what likewise
3;lyre broadly suspiciously;yum;Bahringerville;734;needily;fuzzy phew under
4;ouch gah;gah alert;Lake Cristobalstead;3808;minus;manage wallaby
5;if or;blah;Lake Coty;23378;sharply except vainly;excluding considering
6;quietly relative toe;outfox lumbering;West Darrickboro;5034;handover woot;quirkily
7;greedily;impure circa jump;Bettyburgh;18390;eminent;whereas thankfully embalm
8;besides jaywalk blindly;ouch;Jeraldhaven;1571;even;divert vacantly likewise
9;nervously;puritan excepting smooth;North Las Vegas;25229;instead spook bashfully;once
10;justly till embarrassment;consign;Demetriston;9621;peony naturally yowza;and puzzled
